Дата,Курс,Отклонение от медианы,Отклонение от среднего
2023-11-11,92.0535,60.6609,48.78817419829843
2023-11-10,91.9266,60.53399999999999,48.66127419829842
2023-11-09,92.1973,60.8047,48.93197419829843
2023-11-08,92.4151,61.022499999999994,49.149774198298424
2023-11-04,93.0351,61.6425,49.76977419829843
2023-11-03,93.173,61.7804,49.90767419829843
2023-11-02,93.2801,61.8875,50.01477419829843
2023-11-01,92.0226,60.629999999999995,48.757274198298425
2023-10-31,93.2435,61.850899999999996,49.978174198298426
2023-10-28,93.2174,61.824799999999996,49.952074198298426
2023-10-27,93.5616,62.169,50.29627419829843
2023-10-26,93.1507,61.7581,49.88537419829843
2023-10-25,93.5224,62.1298,50.25707419829843
2023-10-24,94.7081,63.3155,51.44277419829843
2023-10-21,95.9053,64.5127,52.639974198298425
2023-10-20,97.3074,65.9148,54.04207419829843
2023-10-19,97.3724,65.9798,54.10707419829843
2023-10-18,97.3458,65.9532,54.080474198298425
2023-10-17,97.2865,65.8939,54.02117419829843
2023-10-14,97.3075,65.9149,54.04217419829843
2023-10-13,96.9948,65.6022,53.729474198298426
2023-10-12,99.9808,68.5882,56.71547419829843
2023-10-11,99.9349,68.5423,56.66957419829843
2023-10-10,101.3598,69.9672,58.094474198298435
2023-10-07,100.4911,69.0985,57.22577419829843
2023-10-06,99.6762,68.28359999999999,56.41087419829842
2023-10-05,99.4555,68.0629,56.19017419829843
2023-10-04,99.2677,67.8751,56.00237419829843
2023-10-03,98.4785,67.0859,55.213174198298425
2023-09-30,97.4147,66.0221,54.149374198298425
2023-09-29,97.0018,65.6092,53.73647419829843
2023-09-28,96.5,65.1074,53.23467419829843
2023-09-27,96.2378,64.84519999999999,52.97247419829842
2023-09-26,96.1456,64.753,52.88027419829843
2023-09-23,96.0419,64.6493,52.77657419829843
2023-09-22,96.0762,64.6836,52.81087419829843
2023-09-21,96.6172,65.2246,53.351874198298425
2023-09-20,96.2236,64.831,52.95827419829843
2023-09-19,96.6472,65.2546,53.381874198298426
2023-09-16,96.6338,65.24119999999999,53.36847419829842
2023-09-15,96.1609,64.7683,52.895574198298426
2023-09-14,95.9794,64.5868,52.71407419829843
2023-09-13,94.7035,63.310900000000004,51.438174198298434
2023-09-12,96.5083,65.1157,53.242974198298434
2023-09-09,97.9241,66.5315,54.658774198298424
2023-09-08,98.1961,66.8035,54.93077419829843
2023-09-07,97.8439,66.4513,54.57857419829843
2023-09-06,97.5383,66.1457,54.272974198298435
2023-09-05,96.6199,65.2273,53.35457419829843
2023-09-02,96.3411,64.9485,53.075774198298426
2023-09-01,96.3344,64.9418,53.06907419829843
2023-08-31,95.9283,64.53569999999999,52.66297419829842
2023-08-30,95.707,64.31439999999999,52.44167419829842
2023-08-29,95.4717,64.0791,52.20637419829843
2023-08-26,94.7117,63.31909999999999,51.44637419829842
2023-08-25,94.4007,63.0081,51.13537419829843
2023-08-24,94.4421,63.049499999999995,51.176774198298425
2023-08-23,94.1185,62.725899999999996,50.853174198298426
2023-08-22,94.1424,62.74979999999999,50.87707419829842
2023-08-19,93.4047,62.012100000000004,50.139374198298434
2023-08-18,93.746,62.35339999999999,50.48067419829842
2023-08-17,96.7045,65.3119,53.439174198298424
2023-08-16,97.4217,66.0291,54.15637419829843
2023-08-15,101.0399,69.6473,57.77457419829843
2023-08-12,98.2066,66.814,54.94127419829842
2023-08-11,97.2794,65.8868,54.014074198298424
2023-08-10,97.3999,66.0073,54.13457419829843
2023-08-09,96.0755,64.6829,52.810174198298434
2023-08-08,96.5668,65.1742,53.30147419829843
2023-08-05,94.8076,63.41499999999999,51.54227419829842
