2023-09-02,96.3411
2023-09-03,Page not found
2023-09-04,Page not found
2023-09-05,96.6199
2023-09-06,97.5383
2023-09-07,97.8439
2023-09-08,98.1961
2023-09-09,97.9241
2023-09-10,Page not found
2023-09-11,Page not found
2023-09-12,96.5083
2023-09-13,94.7035
2023-09-14,95.9794
2023-09-15,96.1609
2023-09-16,96.6338
2023-09-17,Page not found
2023-09-18,Page not found
2023-09-19,96.6472
2023-09-20,96.2236
2023-09-21,96.6172
2023-09-22,96.0762
2023-09-23,96.0419
2023-09-24,Page not found
2023-09-25,Page not found
2023-09-26,96.1456
2023-09-27,96.2378
2023-09-28,96.5
2023-09-29,97.0018
2023-09-30,97.4147
2023-10-01,Page not found
2023-10-02,Page not found
