Дата,Температура
2011/11/10,0
2011/11/11,-1
2011/11/12,-2
2011/11/13,-3
2011/11/14,-2
2011/11/15,-2
2011/11/16,-6
2011/11/17,-6
2011/11/18,-5
2011/11/19,-5
2011/11/20,0
2011/11/21,-4
2011/11/22,-7
2011/11/23,-12
2011/11/24,-13
2011/11/25,-8
2011/11/26,-5
2011/11/27,-9
2011/11/28,-5
2011/11/29,-5
2011/11/30,-1
2011/12/1,-5
2011/12/2,-6
2011/12/3,-4
2011/12/4,-6
2011/12/5,-1
2011/12/6,0
2011/12/7,-7
2011/12/8,-10
2011/12/9,-7
2011/12/10,-12
2011/12/11,-14
2011/12/12,-9
2011/12/13,-5
2011/12/14,-11
2011/12/15,-8
2011/12/16,-9
2011/12/17,-13
2011/12/18,-12
2011/12/19,-11
2011/12/20,-8
2011/12/21,-7
2011/12/22,-10
2011/12/23,-9
2011/12/24,-5
2011/12/25,-8
2011/12/26,-8
2011/12/27,0
2011/12/28,+1
2011/12/29,-3
2011/12/30,-3
2011/12/31,-8
2012/01/1,-5
2012/01/2,-6
2012/01/3,-6
2012/01/4,-11
2012/01/5,-4
2012/01/6,-1
2012/01/7,-8
2012/01/8,-10
2012/01/9,-11
2012/01/10,-11
2012/01/11,-10
2012/01/12,-10
2012/01/13,-4
2012/01/14,-3
2012/01/15,-3
2012/01/16,-6
2012/01/17,-4
2012/01/18,-7
2012/01/19,-11
2012/01/20,-13
2012/01/21,-14
2012/01/22,-12
2012/01/23,-9
2012/01/24,-6
2012/01/25,-6
2012/01/26,-8
2012/01/27,-9
2012/01/28,-10
2012/01/29,-10
2012/01/30,-16
2012/01/31,-17
2012/02/1,-19
2012/02/2,-19
2012/02/3,-19
2012/02/4,-15
2012/02/5,-14
2012/02/7,-13
2012/02/8,-13
2012/02/9,-12
2012/02/10,-17
2012/02/11,-14
2012/02/12,-17
2012/02/13,-17
2012/02/14,-13
2012/02/15,-11
2012/02/16,-10
2012/02/17,-8
2012/02/18,-9
2012/02/19,-6
2012/02/20,-6
2012/02/21,-5
2012/02/22,-10
2012/02/23,-8
2012/02/24,-8
2012/02/25,-10
2012/02/26,-9
2012/02/27,-9
2012/02/28,-3
2012/02/29,-1
2012/03/1,-3
2012/03/2,-3
2012/03/3,-4
2012/03/4,-3
2012/03/5,-3
2012/03/6,-3
2012/03/7,-6
2012/03/8,-7
2012/03/9,-6
2012/03/10,-13
2012/03/11,-10
2012/03/12,-12
2012/03/13,-11
2012/03/14,-5
2012/03/15,-1
2012/03/16,-3
2012/03/17,-6
2012/03/18,+1
2012/03/19,+6
2012/03/20,0
2012/03/21,+1
2012/03/22,+3
2012/03/23,0
2012/03/24,-2
2012/03/25,-1
2012/03/26,-3
2012/03/27,0
2012/03/28,-3
2012/03/29,-2
2012/03/30,+2
2012/03/31,+3
2012/04/1,+3
2012/04/2,+4
2012/04/3,+2
2012/04/4,+4
2012/04/5,+8
2012/04/6,+3
2012/04/7,+9
2012/04/8,+12
2012/04/9,+19
2012/04/10,+22
2012/04/11,+12
2012/04/12,+14
2012/04/13,+21
2012/04/14,+17
2012/04/15,+20
2012/04/16,+25
2012/04/17,+29
2012/04/18,+25
2012/04/19,+24
2012/04/20,+25
2012/04/21,+28
2012/04/22,+17
2012/04/23,+25
2012/04/24,+22
2012/04/25,+23
2012/04/26,+25
2012/04/27,+25
2012/04/28,+24
2012/04/29,+22
2012/04/30,+6
2012/05/1,+11
2012/05/2,+14
2012/05/3,+13
2012/05/4,+18
2012/05/5,+16
2012/05/6,+21
2012/05/7,+27
2012/05/8,+27
2012/05/9,+29
2012/05/10,+30
2012/05/11,+26
2012/05/12,+21
2012/05/13,+29
2012/05/14,+24
2012/05/15,+21
2012/05/16,+22
2012/05/17,+21
2012/05/18,+25
2012/05/19,+27
2012/05/20,+27
2012/05/21,+27
2012/05/22,+27
2012/05/23,+26
2012/05/24,+12
2012/05/25,+15
2012/05/26,+21
2012/05/27,+25
2012/05/28,+18
2012/05/29,+25
2012/05/30,+27
2012/05/31,+23
2012/06/1,+26
2012/06/2,+25
2012/06/3,+20
2012/06/4,+12
2012/06/5,+21
2012/06/6,+22
2012/06/7,+29
2012/06/8,+33
2012/06/9,+25
2012/06/10,+24
2012/06/11,+20
2012/06/12,+27
2012/06/13,+34
2012/06/14,+33
2012/06/15,+31
2012/06/16,+31
2012/06/17,+26
2012/06/18,+23
2012/06/19,+23
2012/06/20,+21
2012/06/21,+26
2012/06/22,+19
2012/06/23,+24
2012/06/24,+24
2012/06/25,+26
2012/06/26,+29
2012/06/27,+30
2012/06/28,+29
2012/06/29,+25
2012/06/30,+26
2012/07/1,+24
2012/07/2,+19
2012/07/3,+25
2012/07/4,+28
2012/07/5,+29
2012/07/6,+27
2012/07/7,+25
2012/07/8,+25
2012/07/9,+27
2012/07/10,+30
2012/07/11,+32
2012/07/12,+34
2012/07/13,+31
2012/07/14,+29
2012/07/15,+32
2012/07/16,+32
2012/07/17,+27
2012/07/18,+19
2012/07/19,+22
2012/07/20,+23
2012/07/21,+27
2012/07/22,+26
2012/07/23,+29
2012/07/24,+23
2012/07/25,+24
2012/07/26,+24
2012/07/27,+28
2012/07/28,+25
2012/07/29,+23
2012/07/30,+25
2012/07/31,+26
2012/08/1,+30
2012/08/2,+32
2012/08/3,+31
2012/08/4,+32
2012/08/5,+33
2012/08/6,+32
2012/08/7,+31
2012/08/8,+33
2012/08/9,+37
2012/08/10,+29
2012/08/11,+22
2012/08/12,+27
2012/08/13,+30
2012/08/14,+28
2012/08/15,+28
2012/08/16,+26
2012/08/17,+21
2012/08/18,+26
2012/08/19,+23
2012/08/20,+25
2012/08/21,+24
2012/08/22,+19
2012/08/23,+22
2012/08/24,+23
2012/08/25,+21
2012/08/26,+20
2012/08/27,+22
2012/08/28,+25
2012/08/29,+28
2012/08/30,+24
2012/08/31,+13
2012/09/1,+12
2012/09/2,+12
2012/09/3,+16
2012/09/4,+18
2012/09/5,+21
2012/09/6,+23
2012/09/7,+24
2012/09/8,+15
2012/09/9,+18
2012/09/10,+11
2012/09/11,+12
2012/09/12,+14
2012/09/13,+20
2012/09/14,+24
2012/09/15,+26
2012/09/16,+27
2012/09/17,+17
2012/09/18,+18
2012/09/19,+18
2012/09/20,+19
2012/09/21,+22
2012/09/22,+22
2012/09/23,+23
2012/09/24,+12
2012/09/25,+14
2012/09/26,+13
2012/09/27,+15
2012/09/28,+14
2012/09/29,+14
2012/09/30,+18
2012/10/1,+13
2012/10/2,+10
2012/10/3,+12
2012/10/4,+9
2012/10/5,+13
2012/10/6,+9
2012/10/7,+17
2012/10/8,+21
2012/10/9,+23
2012/10/10,+12
2012/10/11,+15
2012/10/12,+13
2012/10/13,+10
2012/10/14,+7
2012/10/15,+10
2012/10/16,+13
2012/10/17,+10
2012/10/18,+15
2012/10/19,+17
2012/10/20,+17
2012/10/21,+13
2012/10/22,+11
2012/10/23,+1
2012/10/24,+3
2012/10/25,+3
2012/10/26,+4
2012/10/28,+6
2012/10/29,+14
2012/10/30,+2
2012/10/31,+14
2012/11/1,+6
2012/11/2,+1
2012/11/3,+4
2012/11/4,+2
2012/11/5,+7
2012/11/6,+11
2012/11/7,+8
2012/11/8,+6
2012/11/9,+3
2012/11/10,+2
2012/11/11,0
2012/11/12,-1
2012/11/13,0
2012/11/14,+1
2012/11/15,0
2012/11/16,+4
2012/11/17,+1
2012/11/18,0
2012/11/19,+1
2012/11/20,+2
2012/11/21,+2
2012/11/22,+1
2012/11/23,+1
2012/11/24,-1
2012/11/25,-2
2012/11/26,-3
2012/11/27,-1
2012/11/28,-3
2012/11/29,-4
2012/11/30,-3
2012/12/1,+4
2012/12/2,+4
2012/12/3,+2
2012/12/4,+2
2012/12/5,+3
2012/12/6,-1
2012/12/7,+1
2012/12/8,0
2012/12/9,-2
2012/12/10,-6
2012/12/11,-12
2012/12/12,-11
2012/12/13,-12
2012/12/14,-12
2012/12/15,-12
2012/12/16,-10
2012/12/17,-14
2012/12/18,-15
2012/12/19,-15
2012/12/20,-15
2012/12/21,-11
2012/12/22,-15
2012/12/23,-22
2012/12/24,-18
2012/12/25,-13
2012/12/26,-9
2012/12/27,-5
2012/12/28,+2
2012/12/29,-3
2012/12/30,-9
2012/12/31,-8
2013/01/1,-8
2013/01/2,-10
2013/01/3,-8
2013/01/4,-1
2013/01/5,-1
2013/01/6,-5
2013/01/7,-5
2013/01/8,-8
2013/01/9,-7
2013/01/10,-10
2013/01/11,-13
2013/01/12,-16
2013/01/13,-12
2013/01/14,-10
2013/01/15,-5
2013/01/16,-7
2013/01/17,-10
2013/01/18,-7
2013/01/19,-5
2013/01/20,+1
2013/01/21,-3
2013/01/22,-9
2013/01/23,-13
2013/01/24,-11
2013/01/25,-11
2013/01/26,-12
2013/01/27,-15
2013/01/28,-14
2013/01/29,-15
2013/01/30,-13
2013/01/31,-4
2013/02/1,-5
2013/02/2,-8
2013/02/3,-3
2013/02/4,-1
2013/02/5,0
2013/02/6,-1
2013/02/7,-4
2013/02/8,-5
2013/02/9,-5
2013/02/10,-6
2013/02/11,-6
2013/02/12,-4
2013/02/13,-4
2013/02/14,-6
2013/02/15,-5
2013/02/16,-6
2013/02/17,-1
2013/02/18,-5
2013/02/19,-6
2013/02/20,-9
2013/02/21,-8
2013/02/22,-8
2013/02/23,-7
2013/02/24,-4
2013/02/25,-3
2013/02/26,-2
2013/02/27,-5
2013/02/28,-9
2013/03/1,+1
2013/03/2,+1
2013/03/3,-7
2013/03/4,-10
2013/03/5,-9
2013/03/6,-14
2013/03/7,-2
2013/03/8,-2
2013/03/9,-6
2013/03/10,-10
2013/03/11,-6
2013/03/12,-5
2013/03/13,-4
2013/03/14,+1
2013/03/15,0
2013/03/16,+3
2013/03/17,+2
2013/03/18,+3
2013/03/19,0
2013/03/20,+1
2013/03/21,+2
2013/03/22,-2
2013/03/23,-1
2013/03/24,+5
2013/03/25,-2
2013/03/26,-3
2013/03/27,-2
2013/03/28,+1
2013/03/29,-3
2013/03/30,+2
2013/03/31,+2
2013/04/1,+3
2013/04/2,+11
2013/04/3,+12
2013/04/4,+13
2013/04/5,+11
2013/04/6,+18
2013/04/7,+13
2013/04/8,+5
2013/04/9,+2
2013/04/10,+8
2013/04/11,+2
2013/04/12,+2
2013/04/13,+1
2013/04/14,+2
2013/04/15,+9
2013/04/16,+13
2013/04/17,+17
2013/04/18,+18
2013/04/19,+21
2013/04/20,+23
2013/04/21,+24
2013/04/22,+17
2013/04/23,+17
2013/04/24,+15
2013/04/25,+12
2013/04/26,+8
2013/04/27,+13
2013/04/28,+15
2013/04/29,+11
2013/04/30,+15
2013/05/1,+18
2013/05/2,+18
2013/05/3,+20
2013/05/4,+18
2013/05/5,+25
2013/05/6,+19
2013/05/7,+13
2013/05/8,+18
2013/05/9,+22
2013/05/10,+23
2013/05/11,+26
2013/05/12,+23
2013/05/13,+27
2013/05/14,+28
2013/05/15,+27
2013/05/16,+31
2013/05/17,+27
2013/05/18,+21
2013/05/19,+16
2013/05/20,+20
2013/05/21,+16
2013/05/22,+15
2013/05/23,+15
2013/05/24,+23
2013/05/25,+28
2013/05/26,+29
2013/05/27,+28
2013/05/28,+29
2013/05/29,+24
2013/05/30,+27
2013/05/31,+21
2013/06/1,+19
2013/06/2,+24
2013/06/3,+26
2013/06/4,+27
2013/06/5,+20
2013/06/6,+19
2013/06/7,+21
2013/06/8,+24
2013/06/9,+21
2013/06/10,+25
2013/06/11,+29
2013/06/12,+31
2013/06/13,+21
2013/06/14,+22
2013/06/15,+24
2013/06/16,+30
2013/06/17,+33
2013/06/18,+32
2013/06/19,+26
2013/06/20,+29
2013/06/21,+23
2013/06/22,+19
2013/06/23,+25
2013/06/24,+29
2013/06/25,+30
2013/06/26,+32
2013/06/27,+31
2013/06/28,+23
2013/06/29,+33
2013/06/30,+27
2013/07/1,+27
2013/07/2,+27
2013/07/3,+27
2013/07/4,+26
2013/07/5,+29
2013/07/6,+33
2013/07/7,+32
2013/07/8,+25
2013/07/9,+26
2013/07/10,+23
2013/07/11,+24
2013/07/12,+26
2013/07/13,+28
2013/07/14,+24
2013/07/15,+26
2013/07/16,+29
2013/07/17,+27
2013/07/18,+24
2013/07/19,+25
2013/07/20,+28
2013/07/21,+30
2013/07/22,+23
2013/07/23,+25
2013/07/24,+24
2013/07/25,+20
2013/07/26,+20
2013/07/27,+19
2013/07/28,+26
2013/07/29,+25
2013/07/30,+27
2013/07/31,+24
2013/08/1,+19
2013/08/2,+21
2013/08/3,+23
2013/08/4,+26
2013/08/5,+21
2013/08/6,+28
2013/08/7,+18
2013/08/8,+20
2013/08/9,+23
2013/08/10,+26
2013/08/11,+29
2013/08/12,+30
2013/08/13,+31
2013/08/14,+33
2013/08/15,+34
2013/08/16,+32
2013/08/17,+29
2013/08/18,+22
2013/08/19,+20
2013/08/20,+24
2013/08/21,+25
2013/08/22,+27
2013/08/23,+28
2013/08/24,+29
2013/08/25,+27
2013/08/26,+21
2013/08/27,+17
2013/08/28,+17
2013/08/29,+22
2013/08/30,+23
2013/08/31,+28
2013/09/1,+20
2013/09/2,+18
2013/09/3,+21
2013/09/4,+22
2013/09/5,+24
2013/09/6,+20
2013/09/7,+18
2013/09/8,+20
2013/09/9,+20
2013/09/10,+14
2013/09/11,+15
2013/09/12,+18
2013/09/13,+18
2013/09/14,+19
2013/09/15,+20
2013/09/16,+20
2013/09/17,+15
2013/09/18,+13
2013/09/19,+14
2013/09/20,+14
2013/09/21,+11
2013/09/22,+16
2013/09/23,+14
2013/09/24,+12
2013/09/25,+11
2013/09/26,+9
2013/09/27,+8
2013/09/28,+4
2013/09/29,+9
2013/09/30,+8
2013/10/1,+4
2013/10/2,+5
2013/10/3,+2
2013/10/4,+2
2013/10/5,+3
2013/10/6,+2
2013/10/7,+12
2013/10/8,+9
2013/10/9,+13
2013/10/10,+12
2013/10/11,+12
2013/10/12,+12
2013/10/13,+9
2013/10/14,+4
2013/10/15,+6
2013/10/16,+10
2013/10/17,+11
2013/10/18,+6
2013/10/19,+14
2013/10/20,+8
2013/10/21,+6
2013/10/22,+4
2013/10/23,+4
2013/10/24,+4
2013/10/25,+6
2013/10/26,+10
2013/10/27,+8
2013/10/28,+11
2013/10/29,+10
2013/10/30,+12
2013/10/31,+9
2013/11/1,+5
2013/11/2,+6
2013/11/3,+8
2013/11/4,+9
2013/11/5,+10
2013/11/6,+12
2013/11/7,+12
2013/11/8,+10
2013/11/9,+8
2013/11/10,+8
2013/11/11,+8
2013/11/12,+5
2013/11/13,+6
2013/11/14,+7
2013/11/15,+3
2013/11/16,+1
2013/11/17,+2
2013/11/18,+3
2013/11/19,+2
2013/11/20,+2
2013/11/21,+2
2013/11/22,+2
2013/11/23,+1
2013/11/24,+1
2013/11/25,0
2013/11/26,+2
2013/11/27,+1
2013/11/28,-2
2013/11/29,+1
2013/11/30,+1
2013/12/1,-4
2013/12/2,0
2013/12/3,-5
2013/12/4,-8
2013/12/5,-2
2013/12/6,0
2013/12/7,-1
2013/12/8,-2
2013/12/9,-5
2013/12/10,-7
2013/12/11,-8
2013/12/12,-10
2013/12/13,-7
2013/12/14,-5
2013/12/15,-9
2013/12/16,-13
2013/12/17,-9
2013/12/18,0
2013/12/19,0
2013/12/20,-9
2013/12/21,-3
2013/12/22,-2
2013/12/23,0
2013/12/24,0
2013/12/25,+2
2013/12/26,-2
2013/12/27,-6
2013/12/28,-8
2013/12/29,-5
2013/12/30,-4
2013/12/31,-2
2014/01/1,0
2014/01/2,-1
2014/01/3,-3
2014/01/4,-8
2014/01/5,-10
2014/01/6,-12
2014/01/7,-6
2014/01/8,-3
2014/01/9,0
2014/01/10,0
2014/01/11,+1
2014/01/12,0
2014/01/13,+1
2014/01/14,0
2014/01/15,-9
2014/01/16,-10
2014/01/17,-4
2014/01/18,-11
2014/01/19,-18
2014/01/20,-19
2014/01/21,-12
2014/01/22,-13
2014/01/23,-15
2014/01/24,-10
2014/01/25,-12
2014/01/26,-17
2014/01/27,-17
2014/01/28,-22
2014/01/29,-27
2014/01/30,-23
2014/01/31,-17
2014/02/1,-20
2014/02/2,-19
2014/02/3,-16
2014/02/4,-12
2014/02/5,-16
2014/02/6,-15
2014/02/7,-19
2014/02/8,-15
2014/02/9,-13
2014/02/10,-15
2014/02/11,-13
2014/02/12,-9
2014/02/13,-1
2014/02/14,+1
2014/02/15,-3
2014/02/16,-4
2014/02/17,-5
2014/02/18,-3
2014/02/19,+1
2014/02/20,0
2014/02/21,-3
2014/02/22,-16
2014/02/23,-17
2014/02/24,-15
2014/02/25,-9
2014/02/26,-4
2014/02/27,+1
2014/02/28,-7
2014/03/1,-3
2014/03/2,-4
2014/03/3,-6
2014/03/4,-5
2014/03/5,-4
2014/03/6,+1
2014/03/7,+1
2014/03/8,-1
2014/03/9,-2
2014/03/10,+1
2014/03/11,+4
2014/03/12,+2
2014/03/13,+3
2014/03/14,+4
2014/03/15,+5
2014/03/16,+5
2014/03/17,+2
2014/03/18,0
2014/03/19,+2
2014/03/20,+1
2014/03/21,+1
2014/03/22,+5
2014/03/23,+9
2014/03/24,+11
2014/03/25,+9
2014/03/26,+13
2014/03/27,+4
2014/03/28,+7
2014/03/29,+2
2014/03/30,+3
2014/03/31,+2
2014/04/1,0
2014/04/2,-1
2014/04/3,+2
2014/04/4,+4
2014/04/5,+1
2014/04/6,+5
2014/04/7,+11
2014/04/8,+4
2014/04/9,+3
2014/04/10,+1
2014/04/11,+3
2014/04/12,+7
2014/04/13,+10
2014/04/14,+11
2014/04/15,+9
2014/04/16,+16
2014/04/17,+15
2014/04/18,+12
2014/04/19,+15
2014/04/20,+18
2014/04/21,+19
2014/04/22,+15
2014/04/23,+20
2014/04/24,+5
2014/04/25,+6
2014/04/26,+6
2014/04/27,+12
2014/04/28,+18
2014/04/29,+19
2014/04/30,+20
2014/05/1,+12
2014/05/2,+18
2014/05/3,+15
2014/05/4,+13
2014/05/5,+20
2014/05/6,+17
2014/05/7,+13
2014/05/8,+15
2014/05/9,+20
2014/05/10,+22
2014/05/11,+28
2014/05/12,+28
2014/05/13,+29
2014/05/14,+30
2014/05/15,+32
2014/05/16,+32
2014/05/17,+23
2014/05/18,+24
2014/05/19,+23
2014/05/20,+27
2014/05/21,+26
2014/05/22,+29
2014/05/23,+30
2014/05/24,+28
2014/05/25,+30
2014/05/26,+30
2014/05/27,+29
2014/05/28,+20
2014/05/29,+21
2014/05/30,+22
2014/05/31,+24
2014/06/1,+26
2014/06/2,+29
2014/06/3,+30
2014/06/4,+31
2014/06/5,+31
2014/06/6,+30
2014/06/7,+26
2014/06/8,+26
2014/06/9,+30
2014/06/10,+23
2014/06/11,+20
2014/06/12,+21
2014/06/13,+22
2014/06/14,+17
2014/06/15,+14
2014/06/16,+19
2014/06/17,+20
2014/06/18,+19
2014/06/19,+16
2014/06/20,+22
2014/06/21,+25
2014/06/22,+25
2014/06/23,+23
2014/06/24,+24
2014/06/25,+23
2014/06/26,+22
2014/06/27,+23
2014/06/28,+16
2014/06/29,+12
2014/06/30,+20
2014/07/1,+25
2014/07/2,+29
2014/07/3,+31
2014/07/4,+31
2014/07/5,+23
2014/07/6,+28
2014/07/7,+22
2014/07/8,+26
2014/07/9,+25
2014/07/10,+26
2014/07/11,+24
2014/07/12,+19
2014/07/13,+26
2014/07/14,+27
2014/07/15,+30
2014/07/16,+32
2014/07/17,+31
2014/07/18,+22
2014/07/19,+23
2014/07/20,+21
2014/07/21,+19
2014/07/22,+24
2014/07/23,+25
2014/07/24,+25
2014/07/25,+23
2014/07/26,+19
2014/07/27,+19
2014/07/28,+22
2014/07/29,+24
2014/07/30,+31
2014/07/31,+31
2014/08/1,+26
2014/08/2,+25
2014/08/3,+24
2014/08/4,+24
2014/08/5,+24
2014/08/6,+26
2014/08/7,+31
2014/08/8,+31
2014/08/9,+35
2014/08/10,+29
2014/08/11,+27
2014/08/12,+27
2014/08/13,+28
2014/08/14,+26
2014/08/15,+29
2014/08/16,+37
2014/08/17,+33
2014/08/18,+28
2014/08/19,+22
2014/08/20,+23
2014/08/21,+22
2014/08/22,+27
2014/08/23,+27
2014/08/24,+23
2014/08/25,+24
2014/08/26,+21
2014/08/27,+22
2014/08/28,+19
2014/08/29,+19
2014/08/30,+20
2014/08/31,+17
2014/09/1,+20
2014/09/2,+20
2014/09/3,+23
2014/09/4,+19
2014/09/5,+19
2014/09/6,+22
2014/09/7,+22
2014/09/8,+19
2014/09/9,+18
2014/09/10,+21
2014/09/11,+21
2014/09/12,+25
2014/09/13,+23
2014/09/14,+24
2014/09/15,+22
2014/09/16,+13
2014/09/17,+9
2014/09/18,+9
2014/09/19,+14
2014/09/20,+17
2014/09/21,+20
2014/09/22,+20
2014/09/23,+17
2014/09/24,+24
2014/09/25,+16
2014/09/26,+17
2014/09/27,+19
2014/09/28,+18
2014/09/29,+16
2014/09/30,+14
2014/10/1,+8
2014/10/2,+3
2014/10/3,+6
2014/10/4,+9
2014/10/5,+6
2014/10/6,+6
2014/10/7,+8
2014/10/8,+4
2014/10/9,+9
2014/10/10,+13
2014/10/11,+19
2014/10/12,+15
2014/10/13,+19
2014/10/14,+15
2014/10/15,+13
2014/10/16,+17
2014/10/17,+17
2014/10/18,+2
2014/10/19,-2
2014/10/20,-1
2014/10/21,+3
2014/10/22,+1
2014/10/23,-6
2014/10/24,-6
2014/10/25,-5
2014/10/26,-5
2014/10/27,+2
2014/10/28,+3
2014/10/29,+7
2014/10/30,+7
2014/10/31,+8
2014/11/1,+4
2014/11/2,+2
2014/11/3,+4
2014/11/4,-1
2014/11/5,+4
2014/11/6,+1
2014/11/7,+4
2014/11/8,+4
2014/11/9,+4
2014/11/10,+6
2014/11/11,+2
2014/11/12,+4
2014/11/13,+5
2014/11/14,+2
2014/11/15,-1
2014/11/16,-8
2014/11/17,-6
2014/11/18,-6
2014/11/19,-6
2014/11/20,-4
2014/11/21,-1
2014/11/22,-1
2014/11/23,-3
2014/11/24,-11
2014/11/25,-7
2014/11/26,-7
2014/11/27,-8
2014/11/28,-8
2014/11/29,-5
2014/11/30,-7
2014/12/1,-7
2014/12/2,-13
2014/12/3,-12
2014/12/4,-4
2014/12/5,-4
2014/12/6,-11
2014/12/7,-4
2014/12/8,-11
2014/12/9,-9
2014/12/10,-3
2014/12/11,-7
2014/12/12,-5
2014/12/13,-5
2014/12/14,-2
2014/12/15,-3
2014/12/16,-3
2014/12/17,-7
2014/12/18,-5
2014/12/19,-2
2014/12/20,-2
2014/12/21,+1
2014/12/22,0
2014/12/23,-4
2014/12/24,0
2014/12/25,-6
2014/12/26,-11
2014/12/27,-13
2014/12/28,-9
2014/12/29,-9
2014/12/30,-12
2014/12/31,-15
2015/01/1,-14
2015/01/2,-7
2015/01/3,-1
2015/01/4,0
2015/01/5,-3
2015/01/6,-6
2015/01/7,-22
2015/01/8,-22
2015/01/9,-13
2015/01/10,-9
2015/01/11,-10
2015/01/12,-1
2015/01/13,-1
2015/01/14,+1
2015/01/15,+2
2015/01/16,-3
2015/01/17,-3
2015/01/18,-8
2015/01/19,-1
2015/01/20,-3
2015/01/21,-13
2015/01/22,-12
2015/01/23,-15
2015/01/24,-17
2015/01/25,-15
2015/01/26,-18
2015/01/27,-17
2015/01/28,-17
2015/01/29,-17
2015/01/30,-16
2015/01/31,-9
2015/02/1,-9
2015/02/2,-5
2015/02/3,-5
2015/02/4,-6
2015/02/5,-2
2015/02/6,-5
2015/02/7,-7
2015/02/8,-10
2015/02/9,-5
2015/02/10,-2
2015/02/11,-7
2015/02/12,-4
2015/02/13,-5
2015/02/14,+3
2015/02/15,-5
2015/02/16,-10
2015/02/17,-11
2015/02/18,-9
2015/02/19,-10
2015/02/20,-9
2015/02/21,-4
2015/02/22,0
2015/02/23,+2
2015/02/24,+4
2015/02/25,+2
2015/02/26,-2
2015/02/27,-6
2015/02/28,-4
2015/03/1,-2
2015/03/2,-2
2015/03/3,-3
2015/03/4,-2
2015/03/5,-8
2015/03/6,-6
2015/03/7,-7
2015/03/8,-3
2015/03/9,-2
2015/03/10,+4
2015/03/11,+4
2015/03/12,+3
2015/03/13,+4
2015/03/14,+7
2015/03/15,+6
2015/03/16,+1
2015/03/17,+5
2015/03/18,+6
2015/03/19,+9
2015/03/20,+5
2015/03/21,+2
2015/03/22,+2
2015/03/23,-2
2015/03/24,-2
2015/03/25,+5
2015/03/26,+1
2015/03/27,-1
2015/03/28,+1
2015/03/29,-1
2015/03/30,-1
2015/03/31,+3
2015/04/1,+6
2015/04/2,+4
2015/04/3,+5
2015/04/4,0
2015/04/5,+1
2015/04/6,+6
2015/04/7,+9
2015/04/8,+9
2015/04/9,+8
2015/04/10,+8
2015/04/11,+10
2015/04/12,+10
2015/04/13,+14
2015/04/14,+15
2015/04/15,+17
2015/04/16,+13
2015/04/17,+14
2015/04/18,+11
2015/04/19,+10
2015/04/20,+3
2015/04/21,+6
2015/04/22,+7
2015/04/23,+7
2015/04/24,+11
2015/04/25,+10
2015/04/26,+10
2015/04/27,+9
2015/04/28,+13
2015/04/29,+25
2015/04/30,+25
2015/05/1,+23
2015/05/2,+23
2015/05/3,+23
2015/05/4,+24
2015/05/5,+21
2015/05/6,+18
2015/05/7,+12
2015/05/8,+18
2015/05/9,+8
2015/05/10,+15
2015/05/11,+18
2015/05/12,+19
2015/05/13,+19
2015/05/14,+15
2015/05/15,+20
2015/05/16,+15
2015/05/17,+15
2015/05/18,+10
2015/05/19,+12
2015/05/20,+16
2015/05/21,+19
2015/05/22,+26
2015/05/23,+28
2015/05/24,+29
2015/05/25,+29
2015/05/26,+28
2015/05/27,+29
2015/05/28,+30
2015/05/29,+25
2015/05/30,+28
2015/05/31,+31
2015/06/1,+33
2015/06/2,+28
2015/06/3,+19
2015/06/4,+28
2015/06/5,+23
2015/06/6,+19
2015/06/7,+20
2015/06/8,+26
2015/06/9,+24
2015/06/10,+21
2015/06/11,+19
2015/06/12,+23
2015/06/13,+21
2015/06/14,+28
2015/06/15,+32
2015/06/16,+32
2015/06/17,+35
2015/06/18,+32
2015/06/19,+33
2015/06/20,+32
2015/06/21,+37
2015/06/22,+35
2015/06/23,+31
2015/06/24,+32
2015/06/25,+32
2015/06/26,+31
2015/06/27,+32
2015/06/28,+35
2015/06/29,+33
2015/06/30,+26
2015/07/1,+24
2015/07/2,+26
2015/07/3,+23
2015/07/4,+26
2015/07/5,+31
2015/07/6,+24
2015/07/7,+19
2015/07/8,+25
2015/07/9,+26
2015/07/10,+35
2015/07/11,+24
2015/07/12,+17
2015/07/13,+23
2015/07/14,+25
2015/07/15,+23
2015/07/16,+24
2015/07/17,+19
2015/07/18,+22
2015/07/19,+22
2015/07/20,+27
2015/07/21,+20
2015/07/22,+22
2015/07/23,+22
2015/07/24,+26
2015/07/25,+26
2015/07/26,+26
2015/07/27,+28
2015/07/28,+28
2015/07/29,+29
2015/07/30,+28
2015/07/31,+30
2015/08/1,+31
2015/08/2,+22
2015/08/3,+26
2015/08/4,+25
2015/08/5,+23
2015/08/6,+21
2015/08/7,+24
2015/08/8,+21
2015/08/9,+28
2015/08/10,+29
2015/08/11,+26
2015/08/12,+24
2015/08/13,+27
2015/08/14,+29
2015/08/15,+24
2015/08/16,+17
2015/08/17,+19
2015/08/18,+18
2015/08/19,+16
2015/08/20,+16
2015/08/21,+22
2015/08/22,+26
2015/08/23,+20
2015/08/24,+16
2015/08/25,+20
2015/08/26,+14
2015/08/27,+26
2015/08/28,+27
2015/08/29,+24
2015/08/30,+18
2015/08/31,+17
2015/09/1,+17
2015/09/2,+19
2015/09/3,+19
2015/09/4,+21
2015/09/5,+26
2015/09/6,+26
2015/09/7,+34
2015/09/8,+21
2015/09/9,+22
2015/09/10,+19
2015/09/11,+13
2015/09/12,+17
2015/09/13,+10
